PD04722MM;;PN01728AM;;PN02526AQ;;;
Descripci¢n;Tasas de inter‚s del Banco Central de Reserva - Tasa de Referencia de la Pol¡tica Monetaria;Descripci¢n;Producto bruto interno y demanda interna (variaci¢n porcentual interanual) - PBI;Descripci¢n;Producto bruto interno por tipo de gasto (variaciones porcentuales reales anualizadas) - PBI; ; 
Frecuencia;MONTHLY;Frecuencia;MONTHLY;Frecuencia;QUARTERLY;;
Periodo ;ENE2024 To DIC2025;Periodo ;NOV2018 To OCT2025;Periodo ;2018Q4 To 2025Q3;;
;;;;;;;
Date;Valores;Date;Valores;fecha;pbi;;
Ene.24;6.5;Nov.18;5.06;T4.18;4.62;;
Feb.24;6.25;Dic.18;4.71;T1.19;2.4;;
Mar.24;6.25;Ene.19;1.68;T2.19;1.15;;
Abr.24;6;Feb.19;2.08;T3.19;3.39;;
May.24;5.75;Mar.19;3.39;T4.19;2.06;;
Jun.24;5.75;Abr.19;0;T1.20;-3.57;;
Jul.24;5.75;May.19;0.69;T2.20;-30.05;;
Ago.24;5.5;Jun.19;2.82;T3.20;-8.69;;
Sep.24;5.25;Jul.19;3.93;T4.20;-1.38;;
Oct.24;5.25;Ago.19;3.72;T1.21;4.23;;
Nov.24;5;Sep.19;2.53;T2.21;42.09;;
Dic.24;5;Oct.19;2.71;T3.21;11.76;;
Ene.25;4.75;Nov.19;2.31;T4.21;3.46;;
Feb.25;4.75;Dic.19;1.24;T1.22;3.92;;
Mar.25;4.75;Ene.20;3.3;T2.22;3.42;;
Abr.25;4.75;Feb.20;4.58;T3.22;2.06;;
May.25;4.5;Mar.20;-17.61;T4.22;2.03;;
Jun.25;4.5;Abr.20;-39.28;T1.23;0.04;;
Jul.25;4.5;May.20;-32.73;T2.23;-0.36;;
Ago.25;4.5;Jun.20;-18.1;T3.23;-0.63;;
Sep.25;4.25;Jul.20;-11.02;T4.23;-0.43;;
Oct.25;4.25;Ago.20;-9.17;T1.24;1.44;;
Nov.25;4.25;Sep.20;-5.87;T2.24;3.81;;
Dic.25;4.25;Oct.20;-3.25;T3.24;4.16;;
;;Nov.20;-2.11;T4.24;4.47;;
;;Dic.20;1.03;T1.25;4.02;;
;;Ene.21;-0.99;T2.25;2.61;;
;;Feb.21;-3.82;T3.25;3.4;;
;;Mar.21;19.87;;;;
;;Abr.21;59.9;;;;
;;May.21;48.6;;;;
;;Jun.21;23.41;;;;
;;Jul.21;13.32;;;;
;;Ago.21;12.01;;;;
;;Sep.21;10.03;;;;
;;Oct.21;4.77;;;;
;;Nov.21;3.75;;;;
;;Dic.21;2.03;;;;
;;Ene.22;3.06;;;;
;;Feb.22;4.83;;;;
;;Mar.22;3.89;;;;
;;Abr.22;4.04;;;;
;;May.22;2.54;;;;
;;Jun.22;3.72;;;;
;;Jul.22;1.99;;;;
;;Ago.22;2.01;;;;
;;Sep.22;2.16;;;;
;;Oct.22;2.62;;;;
;;Nov.22;2.22;;;;
;;Dic.22;1.32;;;;
;;Ene.23;-0.53;;;;
;;Feb.23;-0.29;;;;
;;Mar.23;0.9;;;;
;;Abr.23;0.76;;;;
;;May.23;-1.12;;;;
;;Jun.23;-0.65;;;;
;;Jul.23;-0.99;;;;
;;Ago.23;0.06;;;;
;;Sep.23;-0.94;;;;
;;Oct.23;-0.74;;;;
;;Nov.23;0.6;;;;
;;Dic.23;-1.09;;;;
;;Ene.24;1.66;;;;
;;Feb.24;3.14;;;;
;;Mar.24;-0.37;;;;
;;Abr.24;5.61;;;;
;;May.24;5.47;;;;
;;Jun.24;0.4;;;;
;;Jul.24;4.98;;;;
;;Ago.24;3.96;;;;
;;Sep.24;3.55;;;;
;;Oct.24;3.78;;;;
;;Nov.24;4.4;;;;
;;Dic.24;5.17;;;;
;;Ene.25;4.55;;;;
;;Feb.25;2.91;;;;
;;Mar.25;4.58;;;;
;;Abr.25;1.08;;;;
;;May.25;2.34;;;;
;;Jun.25;4.46;;;;
;;Jul.25;3.29;;;;
;;Ago.25;2.98;;;;
;;Sep.25;3.94;;;;
;;Oct.25;3.62;;;;
